nombre,identificador,tipo,proveedor,estado,comentarios
MP-94031,MP3330928,Telepeaje,"Ródenas, Ayllón and Alberto",Cancelado,Facilis labore optio.
MP-4590,MP7586742,Telemat,"Carbó, Noguera and Borja",Bloqueado,Facere dolorum sint.
MP-66514,MP1242300,Tarjeta Crédito,"Alberdi, Echeverría and Frutos",Inactivo,Quidem sunt harum culpa dolorum.
MP-7298,MP6216155,Tarjeta Débito,"Quintero, Guillen and Bejarano",Bloqueado,Nisi autem impedit.
MP-89559,MP7006052,Telepeaje,Baena-Cerdá,Activo,Quidem eligendi officia ab voluptate.
MP-74576,MP5039208,Tarjeta Débito,Cózar-Carreras,Baja,Eius tempora earum facilis tempora debitis.
MP-76567,MP2998472,Telemat,Piñol PLC,Cancelado,Nesciunt sequi eligendi praesentium similique.
MP-44989,MP1303094,Tarjeta Débito,Garay Inc,Cancelado,Excepturi soluta inventore error ab ex.
MP-18397,MP5177340,Tarjeta Combustible,"Becerra, Montalbán and Carrión",Inactivo,Unde velit iusto ducimus nam fugiat.
MP-23258,MP9791470,Tarjeta Débito,Benítez PLC,Inactivo,Laboriosam aspernatur sint dolores.
MP-22383,MP8315742,Tarjeta Débito,Pujadas and Sons,Inactivo,Eum id iste.
MP-86883,MP0495590,Tarjeta Combustible,Barral Inc,Inactivo,Aut laborum accusamus iusto recusandae.
MP-29402,MP3794326,Tarjeta Débito,Gibert PLC,Activo,Sed sint doloremque soluta impedit totam.
MP-75902,MP3430850,Tarjeta Combustible,Bárcena-Riera,Baja,Nostrum architecto sit.
MP-10959,MP2384396,Tarjeta Crédito,"Riquelme, Bayón and Maldonado",Bloqueado,Voluptas ipsa ut.
MP-48515,MP4074836,Tarjeta Combustible,Manjón-Olmo,Inactivo,Molestiae eveniet tempora magni.
MP-67627,MP7771292,Telepeaje,Pizarro Ltd,Inactivo,Maxime voluptas expedita.
MP-31407,MP5806148,Telepeaje,Benítez PLC,Bloqueado,Laboriosam aut repellendus inventore fugit quisquam.
MP-50506,MP7959696,Telepeaje,"Parejo, Sevilla and Zamorano",Cancelado,Blanditiis quasi ut.
MP-94238,MP7851408,Tarjeta Combustible,Alfaro-Aguilar,Activo,Itaque voluptatibus ipsum.
MP-94307,MP2230528,Telepeaje,"Cantero, Cortés and Franch",Baja,Ullam magni delectus ratione quae.
MP-20423,MP0207752,Telepeaje,Andrade Ltd,Cancelado,Totam quam sapiente dolorem quia.
MP-50067,MP7926387,Telemat,Roldan-Botella,Activo,Excepturi vero impedit aut dolores nesciunt.
MP-27109,MP2266721,Tarjeta Crédito,Garcia Group,Activo,Accusantium voluptatem ratione fugit.
MP-59400,MP4135835,Telepeaje,Santamaria PLC,Cancelado,Blanditiis ducimus impedit ut ratione numquam.
MP-83134,MP1927316,Tarjeta Crédito,Hernández and Sons,Activo,Hic quia est sit commodi.
MP-49228,MP4891715,Telepeaje,Roldan-Botella,Baja,Aperiam voluptatibus soluta modi laborum voluptate.
MP-11836,MP1267617,Tarjeta Crédito,Jerez LLC,Baja,Pariatur error quos ratione.
MP-18570,MP9069882,Tarjeta Débito,Jover-Ávila,Inactivo,Provident architecto temporibus eos.
MP-64778,MP1869659,Telemat,"Becerra, Montalbán and Carrión",Cancelado,Repellat pariatur perferendis consectetur qui omnis.
MP-54644,MP9653306,Telepeaje,Baena-Cerdá,Activo,Officiis totam praesentium voluptatibus nobis.
MP-12078,MP8897342,Telemat,Escolano Ltd,Cancelado,Delectus molestiae reiciendis aut tempora.
MP-32423,MP7917731,Tarjeta Crédito,Bueno Inc,Cancelado,Dolorem nostrum magnam voluptatem accusantium.
MP-37778,MP6235484,Tarjeta Combustible,"Julián, Barrios and Barberá",Bloqueado,Odit neque delectus sed non placeat quisquam.
MP-3095,MP7950212,Telepeaje,Franco and Sons,Activo,Totam recusandae eius nemo fugit asperiores.
MP-15270,MP7791792,Tarjeta Combustible,Bárcena-Riera,Bloqueado,Animi provident reprehenderit voluptatibus.
MP-60930,MP9634593,Telepeaje,Bárcena-Riera,Cancelado,Ullam illum suscipit.
MP-85257,MP6836145,Telepeaje,Benito and Sons,Inactivo,Voluptates delectus culpa.
MP-31968,MP6781433,Tarjeta Débito,"Maza, Quintana and Ibáñez",Cancelado,Odit iusto enim.
MP-44036,MP7254461,Tarjeta Combustible,"Pinilla, Bravo and Cantero",Bloqueado,Quibusdam aspernatur sequi.
MP-78656,MP1089606,Tarjeta Crédito,Garay Inc,Inactivo,Fugiat alias ut mollitia ipsum.
MP-48592,MP5263467,Tarjeta Crédito,Gonzalo Ltd,Bloqueado,Magni accusamus recusandae optio.
MP-88471,MP7927984,Tarjeta Débito,Figueroa-Vélez,Activo,Aliquam quibusdam deleniti neque iure reiciendis.
MP-4939,MP2388009,Tarjeta Combustible,Garay Inc,Inactivo,Fugiat repudiandae nihil.
